Finished reading inputs
Log likelihood: -236.288
Log likelihood: -31953.4
Log likelihood: -21801.9
Log likelihood: -384.564
Log likelihood: -544.508
Log likelihood: -6880.31
Log likelihood: -270.825
Log likelihood: -9443.08
Log likelihood: -2277.82
Log likelihood: -1843.26
Log likelihood: -1119.73
Log likelihood: -531.998
Log likelihood: -21429.7
Log likelihood: -4186.27
Log likelihood: -1770.36
Log likelihood: -3192.01
Log likelihood: -1212.79
Log likelihood: -2073.72
Log likelihood: -5051.07
Log likelihood: -1583.3
Log likelihood: -827.832
Log likelihood: -8467.23
Log likelihood: -581.753
Log likelihood: -1152.46
Log likelihood: -2278.78
Log likelihood: -2588.12
Log likelihood: -456.146
Log likelihood: -20481.9
Log likelihood: -1012.67
Log likelihood: -2449.54
Log likelihood: -4171.54
Log likelihood: -3743.78
Log likelihood: -851.281
Log likelihood: -1694.97
Log likelihood: -215.666
Log likelihood: -177.284
Log likelihood: -7615.3
Log likelihood: -2930.44
Log likelihood: -1205.95
Log likelihood: -1226.76
Log likelihood: -540.695
Log likelihood: -4076.2
Log likelihood: -562.183
Log likelihood: -790.368
Log likelihood: -3444.51
Log likelihood: -382.625
Log likelihood: -194.94
Log likelihood: -7535.16
Log likelihood: -2042.12
Log likelihood: -23430.3
Log likelihood: -954.317
Log likelihood: -781.811
Log likelihood: -13061.7
Log likelihood: -661.976
Log likelihood: -1023.7
Log likelihood: -2007.48
Log likelihood: -7631.72
Log likelihood: -1163.51
Log likelihood: -1157.7
Log likelihood: -2923.3
Log likelihood: -2976.75
Log likelihood: -2261.14
Log likelihood: -10538.6
Log likelihood: -4413.73
Log likelihood: -965.868
Log likelihood: -19752.4
Log likelihood: -679.709
Log likelihood: -912.591
Log likelihood: -3491.76
Log likelihood: -30239.3
Log likelihood: -581.127
Log likelihood: -303.099
Log likelihood: -1399.75
Log likelihood: -19264.7
Log likelihood: -11264.2
Log likelihood: -2945.53
Log likelihood: -28184.5
Log likelihood: -3581.03
Log likelihood: -443.872
Log likelihood: -690.91
Log likelihood: -498.77
Log likelihood: -462.715
Log likelihood: -1164.55
Log likelihood: -4710.02
Log likelihood: -1950.7
Completed simulation 501
Log likelihood: -2599.13
Log likelihood: -2344.52
Log likelihood: -14367.8
Log likelihood: -14367.4
Log likelihood: -1426.66
Log likelihood: -1439.12
Log likelihood: -454.556
Log likelihood: -18090.6
Log likelihood: -12170.5
Log likelihood: -739.311
Log likelihood: -3207.79
Log likelihood: -350.828
Log likelihood: -1261.68
Log likelihood: -4290.17
Log likelihood: -275.901
Log likelihood: -3485.78
Log likelihood: -910.495
Log likelihood: -9956.78
Log likelihood: -15547.9
Log likelihood: -3881.17
Log likelihood: -556.762
Log likelihood: -8522.42
Log likelihood: -552.823
Log likelihood: -9636.97
Log likelihood: -320.252
Log likelihood: -849.248
Log likelihood: -6603.74
Log likelihood: -11041.5
Log likelihood: -5493.1
Log likelihood: -572.868
Log likelihood: -10012.1
Log likelihood: -3758.48
Log likelihood: -6312.07
Log likelihood: -5808.11
Log likelihood: -1645.74
Log likelihood: -293.293
Log likelihood: -1343.45
Log likelihood: -1232.62
Log likelihood: -2577.44
Log likelihood: -2160.46
Log likelihood: -4581.18
Log likelihood: -1504.94
Log likelihood: -834.564
Log likelihood: -570.106
Log likelihood: -3469.06
Log likelihood: -1799.67
Log likelihood: -2577.68
Log likelihood: -2501.21
Log likelihood: -412.858
Log likelihood: -29221.5
Log likelihood: -5269.11
Log likelihood: -766.807
Log likelihood: -36928.8
Log likelihood: -617.202
Log likelihood: -11553.7
Log likelihood: -4202.29
Log likelihood: -423.09
Log likelihood: -783.65
Log likelihood: -18919.8
Log likelihood: -4514.34
Log likelihood: -222.965
Log likelihood: -1425.94
