Finished reading inputs
Log likelihood: -1967.65
Log likelihood: -1747.38
Log likelihood: -389.914
Log likelihood: -517.611
Log likelihood: -28419.6
Log likelihood: -1884.55
Log likelihood: -772.737
Log likelihood: -24663
Log likelihood: -338.154
Log likelihood: -3167.9
Log likelihood: -1020.96
Log likelihood: -226.472
Log likelihood: -1012.25
Log likelihood: -3776.11
Log likelihood: -2467.71
Log likelihood: -281.816
Log likelihood: -1449.14
Log likelihood: -2816.26
Log likelihood: -465.475
Log likelihood: -318.492
Log likelihood: -9521.98
Log likelihood: -528.436
Log likelihood: -1022.55
Log likelihood: -589.696
Log likelihood: -360.048
Log likelihood: -359.921
Log likelihood: -2021.33
Log likelihood: -180.861
Log likelihood: -2128.77
Log likelihood: -250.015
Log likelihood: -16730.7
Log likelihood: -1220.12
Log likelihood: -442.541
Log likelihood: -1696.35
Log likelihood: -890.531
Log likelihood: -447.935
Log likelihood: -944.497
Log likelihood: -664.852
Log likelihood: -1048.01
Log likelihood: -14765.7
Log likelihood: -356.606
Log likelihood: -1020.34
Log likelihood: -268.252
Log likelihood: -2658.59
Log likelihood: -6438.25
Log likelihood: -289.077
Log likelihood: -8407.3
Log likelihood: -983.479
Log likelihood: -1537.99
Log likelihood: -1332.61
Log likelihood: -2732.28
Log likelihood: -1286.91
Log likelihood: -47121.4
Log likelihood: -985.695
Log likelihood: -1233.32
Completed simulation 601
Log likelihood: -18683.7
Log likelihood: -911.61
Log likelihood: -1253.99
Log likelihood: -1071.81
Log likelihood: -559.463
Log likelihood: -1496.58
Log likelihood: -1074.31
Log likelihood: -352.529
Log likelihood: -4644.43
Log likelihood: -923.006
Log likelihood: -8862.85
Log likelihood: -357.536
Log likelihood: -1718.06
Log likelihood: -40192.1
Log likelihood: -1385.45
Log likelihood: -458.174
Log likelihood: -685.269
Log likelihood: -9498
Log likelihood: -3053.13
Log likelihood: -3691.84
Log likelihood: -337.768
Log likelihood: -5204.21
Log likelihood: -1127.54
Log likelihood: -3569.61
Log likelihood: -532.475
Log likelihood: -3753.54
Log likelihood: -2521.67
Log likelihood: -684.869
Log likelihood: -13099.6
Log likelihood: -10287
Log likelihood: -748.57
Log likelihood: -1434.64
Log likelihood: -1008.82
Log likelihood: -20515.2
Log likelihood: -2745.62
Log likelihood: -1697.04
Log likelihood: -15873.1
Log likelihood: -404.098
Log likelihood: -825.29
Log likelihood: -569
Log likelihood: -2446.08
Log likelihood: -1426.4
Log likelihood: -2882.22
Log likelihood: -3090.83
Log likelihood: -543.645
Log likelihood: -1649.97
Log likelihood: -4272.32
Log likelihood: -1699.95
Log likelihood: -2245.82
Log likelihood: -2841.38
Log likelihood: -135.193
Log likelihood: -717.7
Log likelihood: -750.147
Log likelihood: -1800.62
Log likelihood: -1030.19
Log likelihood: -1969.15
Log likelihood: -5236.16
Log likelihood: -2589.32
Log likelihood: -2063.85
Log likelihood: -203.65
Log likelihood: -503.793
Log likelihood: -1179.33
Log likelihood: -2204.97
Log likelihood: -3935.36
Log likelihood: -15243.8
Log likelihood: -11096.2
Log likelihood: -653.481
Log likelihood: -2741.49
Log likelihood: -26491.7
Log likelihood: -403.366
Log likelihood: -1139.02
Log likelihood: -532.427
Log likelihood: -885.809
Log likelihood: -2795.25
Log likelihood: -407.603
Log likelihood: -2887.17
Log likelihood: -3107.14
Log likelihood: -317.616
Log likelihood: -356.132
Log likelihood: -3243.41
Log likelihood: -1272.76
Log likelihood: -1370.1
Log likelihood: -1663.43
Log likelihood: -315.763
Log likelihood: -5562.36
Log likelihood: -1948.58
Log likelihood: -435.206
Log likelihood: -695.199
Log likelihood: -1671.53
Log likelihood: -424.24
Log likelihood: -1729.54
Log likelihood: -1118.48
Log likelihood: -5117.84
Log likelihood: -735.209
Log likelihood: -750.148
Log likelihood: -1332.09
Log likelihood: -570.521
Log likelihood: -3231.7
Log likelihood: -8183.59
Log likelihood: -9076.29
Completed simulation 701
Log likelihood: -6119.36
Log likelihood: -557.942
Log likelihood: -1237.8
Log likelihood: -4330.79
Log likelihood: -898.799
Log likelihood: -1260.08
Log likelihood: -8537.76
Log likelihood: -1112.74
Log likelihood: -2179.55
Log likelihood: -726.746
Log likelihood: -431.962
Log likelihood: -783.859
Log likelihood: -1479.58
Log likelihood: -2395.5
Log likelihood: -16699.4
Log likelihood: -732.341
Log likelihood: -8405.67
Log likelihood: -6244.63
Log likelihood: -2133.92
Log likelihood: -4548.78
Log likelihood: -4168.64
Log likelihood: -698.181
Log likelihood: -204.443
Log likelihood: -2608.56
Log likelihood: -4653.72
Log likelihood: -132.121
Log likelihood: -10409.7
Log likelihood: -1089.56
Log likelihood: -909.827
Log likelihood: -995.598
Log likelihood: -2960.36
Log likelihood: -2360.95
Log likelihood: -577.171
Log likelihood: -832.499
Log likelihood: -10687.5
Log likelihood: -11672.9
Log likelihood: -1102.57
Log likelihood: -3642.6
Log likelihood: -979.112
Log likelihood: -1113.62
Log likelihood: -1100.19
Log likelihood: -1175.2
Log likelihood: -183.402
Log likelihood: -22449.2
Log likelihood: -4793.51
Log likelihood: -859.073
Log likelihood: -1322.16
Log likelihood: -16079.4
Log likelihood: -436.04
Log likelihood: -1451.49
Log likelihood: -869.29
Log likelihood: -372.597
Log likelihood: -8196.6
Log likelihood: -875.223
Log likelihood: -20547.4
Log likelihood: -953.946
Log likelihood: -116.475
Log likelihood: -1557.55
Log likelihood: -285.934
Log likelihood: -3579.03
Log likelihood: -616.601
Log likelihood: -2546.52
Log likelihood: -15864.8
Log likelihood: -2047.16
Log likelihood: -2316.71
Log likelihood: -31342.3
Log likelihood: -357.683
Log likelihood: -9459.97
Log likelihood: -1130.41
Log likelihood: -491.791
Log likelihood: -18473.6
Log likelihood: -7134.29
Log likelihood: -10900.4
Log likelihood: -1098.27
Log likelihood: -299.505
Log likelihood: -2918.15
Log likelihood: -208.083
Log likelihood: -266.502
Log likelihood: -650.057
Log likelihood: -15415.6
Log likelihood: -1592.15
Log likelihood: -625.81
Log likelihood: -683.451
Log likelihood: -1895.7
Log likelihood: -2669.72
Log likelihood: -1048.23
Log likelihood: -506.18
Log likelihood: -24080.3
Log likelihood: -2122.86
Log likelihood: -3320.78
Log likelihood: -4498.69
Log likelihood: -1403.95
Log likelihood: -587.522
Log likelihood: -1760.6
Log likelihood: -1402.32
Log likelihood: -24567.1
Log likelihood: -2461.66
Log likelihood: -308.154
Log likelihood: -1322.98
Log likelihood: -5784.03
Completed simulation 801
Log likelihood: -10439.8
Log likelihood: -288.533
Log likelihood: -2588.49
Log likelihood: -3179.85
Log likelihood: -11500.2
Log likelihood: -760.737
Log likelihood: -4024.06
Log likelihood: -970.248
Log likelihood: -1016.93
Log likelihood: -1119.22
Log likelihood: -443.664
Log likelihood: -8524.37
Log likelihood: -1524.14
Log likelihood: -1349.44
Log likelihood: -254.704
Log likelihood: -466.324
Log likelihood: -16404.6
Log likelihood: -1601.96
Log likelihood: -2037.81
Log likelihood: -6756.29
Log likelihood: -1465.29
Log likelihood: -18683.5
Log likelihood: -644.916
Log likelihood: -591.468
Log likelihood: -522.5
Log likelihood: -925.145
Log likelihood: -3646.79
Log likelihood: -3963.25
Log likelihood: -630.193
Log likelihood: -8787.38
Log likelihood: -3822.1
Log likelihood: -2171.73
Log likelihood: -2833.76
Log likelihood: -1613.21
Log likelihood: -5553.62
Log likelihood: -415.079
Log likelihood: -2227.03
Log likelihood: -718.771
Log likelihood: -2119.09
Log likelihood: -604.353
Log likelihood: -387.545
Log likelihood: -2210.14
Log likelihood: -188.741
Log likelihood: -2564.44
Log likelihood: -539.709
Log likelihood: -708.439
Log likelihood: -4267.63
Log likelihood: -471.747
Log likelihood: -1664.81
Log likelihood: -457.731
Log likelihood: -541.206
Log likelihood: -365.424
Log likelihood: -519.562
Log likelihood: -947.54
Log likelihood: -2902.59
Log likelihood: -11691.2
Log likelihood: -723.432
Log likelihood: -8251.53
Log likelihood: -1160.56
Log likelihood: -227.974
Log likelihood: -4961.41
Log likelihood: -428.418
Log likelihood: -1522.43
Log likelihood: -11345.7
Log likelihood: -4454.91
Log likelihood: -748.123
Log likelihood: -341.672
Log likelihood: -5334.67
Log likelihood: -3234
Log likelihood: -112.183
Log likelihood: -1586.95
Log likelihood: -1016.97
Log likelihood: -888.809
Log likelihood: -1506.93
Log likelihood: -1319.34
Log likelihood: -19363.4
Log likelihood: -469.248
Log likelihood: -1518.16
Log likelihood: -1249.92
Log likelihood: -1690.1
Log likelihood: -16597.6
Log likelihood: -32536.7
Log likelihood: -3898.32
Log likelihood: -27742.5
Log likelihood: -729.068
Log likelihood: -1637.26
Log likelihood: -887.466
Log likelihood: -828.389
Log likelihood: -1813.69
Log likelihood: -1839.34
Log likelihood: -719.448
Log likelihood: -1455.25
Log likelihood: -2029.42
Log likelihood: -1480.59
Log likelihood: -360.481
Log likelihood: -6593.64
Log likelihood: -118.6
Log likelihood: -4717.73
Log likelihood: -334.798
Log likelihood: -1429.63
Completed simulation 901
Log likelihood: -1685.37
Log likelihood: -5034.25
Log likelihood: -12695.7
Log likelihood: -629.017
Log likelihood: -573.637
Log likelihood: -15206.6
Log likelihood: -15889.1
Log likelihood: -895.63
Log likelihood: -9732.59
Log likelihood: -2262.02
Log likelihood: -590.893
Log likelihood: -5053.86
Log likelihood: -23251.7
Log likelihood: -398.41
Log likelihood: -921.522
Log likelihood: -683.794
Log likelihood: -1570.37
Log likelihood: -4114.41
Log likelihood: -652.464
Log likelihood: -599.544
Log likelihood: -8971.21
Log likelihood: -711.467
Log likelihood: -3696.08
Log likelihood: -12818.3
Log likelihood: -347.024
Log likelihood: -473.274
Log likelihood: -609.83
Log likelihood: -3195.58
Log likelihood: -663.788
Log likelihood: -2047.45
Log likelihood: -2689.23
Log likelihood: -1060.79
Log likelihood: -15162.9
Log likelihood: -345.379
Log likelihood: -2268.82
Log likelihood: -1868.35
Log likelihood: -2637.62
Log likelihood: -485.239
Log likelihood: -1019.98
Log likelihood: -15604.4
Log likelihood: -294.745
Log likelihood: -1734.6
Log likelihood: -1899.07
Log likelihood: -5232.36
Log likelihood: -1047.65
Log likelihood: -1299.61
Log likelihood: -603.175
Log likelihood: -3107.8
Log likelihood: -1609
Log likelihood: -275.275
Log likelihood: -1836.32
Log likelihood: -1648.92
Log likelihood: -690.773
Log likelihood: -1242.49
Log likelihood: -7780.68
Log likelihood: -1135.1
Log likelihood: -4340.28
Log likelihood: -3058.74
Log likelihood: -722.188
Log likelihood: -318.47
Log likelihood: -992.549
Log likelihood: -2279.19
Log likelihood: -3725.7
Log likelihood: -676.117
Log likelihood: -357.602
Log likelihood: -533.927
Log likelihood: -1782.28
Log likelihood: -650.933
Log likelihood: -16275.5
Log likelihood: -1418.8
Log likelihood: -1308.64
Log likelihood: -1738.21
Log likelihood: -2801.14
Log likelihood: -1206.13
Log likelihood: -170.032
Log likelihood: -353.481
Log likelihood: -637.09
Log likelihood: -2870.27
Log likelihood: -1506.63
Log likelihood: -441.445
Log likelihood: -970.857
Log likelihood: -2639.96
Log likelihood: -329.756
Log likelihood: -3809.05
Log likelihood: -2737.19
Log likelihood: -20998.9
Log likelihood: -12844.9
Log likelihood: -6476.12
Log likelihood: -2247.36
Log likelihood: -4130.9
Log likelihood: -885.283
Log likelihood: -1387.48
Log likelihood: -1505.81
Log likelihood: -212.185
Log likelihood: -9808.04
Log likelihood: -1933.07
Log likelihood: -927.122
Log likelihood: -5452.45
Log likelihood: -586.158
Log likelihood: -6771.35
Completed simulation 1001
Log likelihood: -8367.4
Log likelihood: -809.365
Log likelihood: -398.549
Log likelihood: -9077.41
Log likelihood: -8729.3
Log likelihood: -2427.36
Log likelihood: -231.371
Log likelihood: -910.214
Log likelihood: -523.884
Log likelihood: -220.664
Log likelihood: -4400.82
Log likelihood: -2716.71
Log likelihood: -359.731
Log likelihood: -19434.8
Log likelihood: -14034.5
Log likelihood: -967.359
Log likelihood: -134.122
Log likelihood: -467.353
Log likelihood: -688.887
Log likelihood: -733.496
Log likelihood: -2952.24
Log likelihood: -463.97
Log likelihood: -26636.1
Log likelihood: -211.884
Log likelihood: -250.846
Log likelihood: -1239.46
Log likelihood: -1019.44
Log likelihood: -270.487
Log likelihood: -2285.11
Log likelihood: -1219.64
Log likelihood: -200.937
Log likelihood: -2845.05
Log likelihood: -1003.32
Log likelihood: -1224.3
Log likelihood: -458.022
Log likelihood: -689.734
Log likelihood: -2834.64
Log likelihood: -794.035
Log likelihood: -764.7
Log likelihood: -641.374
Log likelihood: -387.546
Log likelihood: -969.441
Log likelihood: -2928.85
Log likelihood: -2279.13
Log likelihood: -611.172
Log likelihood: -625.815
Log likelihood: -1871.12
Log likelihood: -283.584
Log likelihood: -387.354
Log likelihood: -1220.11
Log likelihood: -11756.4
Log likelihood: -2928.61
Log likelihood: -312.209
Log likelihood: -1417.79
Log likelihood: -1001.42
Log likelihood: -981.291
Log likelihood: -4996.5
Log likelihood: -1872.94
Log likelihood: -932.856
Log likelihood: -1373.75
Log likelihood: -853.228
Log likelihood: -2012.71
Log likelihood: -1790.9
Log likelihood: -1359.75
Log likelihood: -3696.04
Log likelihood: -26115.5
Log likelihood: -11478.9
Log likelihood: -1707.88
Log likelihood: -1415.83
Log likelihood: -426.155
Log likelihood: -17502.3
Log likelihood: -9308.86
Log likelihood: -2305.29
Log likelihood: -17392.9
Log likelihood: -1516.86
Log likelihood: -1257.17
Log likelihood: -25575.1
Log likelihood: -272.631
Log likelihood: -308.745
Log likelihood: -1092.26
Log likelihood: -2507.46
Log likelihood: -14977.3
Log likelihood: -750.31
Log likelihood: -477.58
Log likelihood: -875.825
Log likelihood: -169.216
Log likelihood: -7313.18
Log likelihood: -3641.19
Log likelihood: -1250.79
Log likelihood: -831.818
Log likelihood: -3523.33
Log likelihood: -18016.4
Log likelihood: -8219.9
Log likelihood: -2214.65
Log likelihood: -887.441
Log likelihood: -20731.1
Log likelihood: -5764.15
Log likelihood: -145.453
Log likelihood: -518.949
Log likelihood: -428.91
