Finished reading inputs
Log likelihood: -1020.31
Log likelihood: -12960.7
Log likelihood: -279.776
Log likelihood: -1122.05
Log likelihood: -654.68
Log likelihood: -1864.55
Log likelihood: -2944.81
Log likelihood: -4151.52
Log likelihood: -1310.94
Log likelihood: -443.403
Log likelihood: -218.547
Log likelihood: -2061.41
Log likelihood: -2567.66
Log likelihood: -6910.14
Completed simulation 401
Log likelihood: -3806
Log likelihood: -371.776
Log likelihood: -1404.82
Log likelihood: -1470.55
Log likelihood: -2766.38
Log likelihood: -2148.85
Log likelihood: -1086.68
Log likelihood: -39583.1
Log likelihood: -1359.85
Log likelihood: -2718.4
Log likelihood: -1035.16
Log likelihood: -2859.67
Log likelihood: -1119.33
Log likelihood: -3792.64
Log likelihood: -1015.84
Log likelihood: -408.629
Log likelihood: -24018.4
Log likelihood: -15196.2
Log likelihood: -448.04
Log likelihood: -343.498
Log likelihood: -4323.22
Log likelihood: -310.12
Log likelihood: -7869.65
Log likelihood: -2426.23
Log likelihood: -1652.17
Log likelihood: -1239.05
Log likelihood: -666.868
Log likelihood: -9299.67
Log likelihood: -3419.78
Log likelihood: -821.564
Log likelihood: -1962.36
Log likelihood: -1334.3
Log likelihood: -2169.2
Log likelihood: -861.86
Log likelihood: -253.573
Log likelihood: -715.764
Log likelihood: -3577.39
Log likelihood: -581.439
Log likelihood: -179.735
Log likelihood: -2324.78
Log likelihood: -1246.05
Log likelihood: -490.351
Log likelihood: -16681.7
Log likelihood: -1034.29
Log likelihood: -2549.35
Log likelihood: -1780.02
Log likelihood: -1075.18
Log likelihood: -257.774
Log likelihood: -1701.9
Log likelihood: -334.242
Log likelihood: -205.714
Log likelihood: -2457.69
Log likelihood: -1368.22
Log likelihood: -1481.21
Log likelihood: -1141.78
Log likelihood: -475.205
Log likelihood: -1198.24
Log likelihood: -587.559
Log likelihood: -694.996
Log likelihood: -3482.24
Log likelihood: -360.237
Log likelihood: -207.743
Log likelihood: -1888.49
Log likelihood: -2417
Log likelihood: -17060.8
