Read input files
Log likelihood: -73.9935
Log likelihood: -64.2625
Log likelihood: -66.8836
Log likelihood: -67.8072
Log likelihood: -63.2895
Log likelihood: -63.1467
Log likelihood: -65.2976
Log likelihood: -66.6291
Log likelihood: -68.2759
Log likelihood: -65.6768
Log likelihood: -65.6768
Log likelihood: -70.1724
Log likelihood: -66.7088
Log likelihood: -61.6498
Log likelihood: -67.8072
Log likelihood: -67.8072
Log likelihood: -66.6196
Log likelihood: -62.0089
Log likelihood: -65.2073
Log likelihood: -61.7957
Log likelihood: -67.6343
Log likelihood: -63.3055
Log likelihood: -64.7113
Log likelihood: -67.9082
Log likelihood: -62.5015
Log likelihood: -60.478
Log likelihood: -62.2479
Log likelihood: -65.3151
Log likelihood: -62.2949
Log likelihood: -63.948
Log likelihood: -71.3948
Log likelihood: -69.6914
Log likelihood: -66.7088
Log likelihood: -71.1839
Log likelihood: -66.512
Log likelihood: -66.6964
Log likelihood: -66.1999
Log likelihood: -63.2895
Log likelihood: -66.7088
Log likelihood: -65.3484
Log likelihood: -66.7088
Log likelihood: -62.8789
Log likelihood: -66.0945
Completed simulation 900
Log likelihood: -65.2686
Log likelihood: -65.8614
Log likelihood: -64.0532
Log likelihood: -67.8072
Log likelihood: -66.1149
Log likelihood: -67.8072
Log likelihood: -65.2686
Log likelihood: -65.3311
Log likelihood: -63.2895
Log likelihood: -63.7945
Log likelihood: -68.288
Log likelihood: -69.6372
Log likelihood: -64.2829
Log likelihood: -62.7627
Log likelihood: -66.6291
Log likelihood: -70.5444
Log likelihood: -61.7856
Log likelihood: -63.5548
Log likelihood: -68.2759
Log likelihood: -65.8614
Log likelihood: -63.0029
Log likelihood: -65.5411
Log likelihood: -66.6291
Log likelihood: -64.6377
Log likelihood: -65.189
Log likelihood: -66.6291
Log likelihood: -66.7088
Log likelihood: -65.3151
Log likelihood: -62.0667
Log likelihood: -66.6291
Log likelihood: -65.3291
Log likelihood: -64.0936
Log likelihood: -66.7088
Log likelihood: -66.7088
Log likelihood: -65.5411
Log likelihood: -60.0664
Log likelihood: -65.7633
Log likelihood: -68.9818
Log likelihood: -62.8209
Log likelihood: -62.3668
Log likelihood: -66.6291
Log likelihood: -77.8307
Log likelihood: -63.1646
Log likelihood: -68.2759
Log likelihood: -66.6291
Log likelihood: -72.2676
Log likelihood: -64.8398
Log likelihood: -66.6291
Log likelihood: -66.7088
